Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
0,15.04,8.0,9323,350,225,2,2332.0,741.375
1,16.84,8.0,9281,409,210,0,2384.0,782.2
2,24.36,8.6,9382,379,139,0,2570.5,884.735
3,20.4,7.7,9696,23,180,1,2723.0,712.44
4,25.66,9.8,8669,557,674,0,3179.5,1020.265
5,22.62,8.4,9691,157,52,0,1855.0,789.79
6,23.88,9.3,9290,443,167,0,2866.0,946.17
7,24.12,9.2,8430,1341,128,1,2868.0,945.785
8,23.37,9.0,9224,112,564,0,2489.5,959.39
9,24.65,9.3,7953,1875,70,2,2391.0,974.59
10,23.21,8.8,9476,52,372,0,2111.5,849.68
11,21.59,8.3,9780,78,42,0,2631.5,873.525
12,24.03,9.5,9692,116,92,0,2726.5,996.135
13,26.39,10.2,9550,189,161,0,2933.0,1111.44
14,22.93,8.9,9523,164,212,1,2682.0,900.055
15,22.65,8.8,8231,1382,287,0,2361.0,956.005
16,24.74,9.2,9651,136,109,4,2732.5,955.345
17,23.91,9.0,8545,351,999,5,2871.0,910.69
18,20.08,7.7,8420,1245,235,0,2407.0,785.35
19,28.82,11.2,9100,689,111,0,3078.0,1288.315
20,22.8,8.7,9664,101,135,0,3188.5,875.07
21,22.67,8.6,9646,169,85,0,2365.0,820.85
22,30.38,11.5,9294,285,321,0,3401.5,1350.155
23,26.92,10.0,7833,1265,800,2,2874.5,1115.445
24,22.87,8.4,9652,182,65,1,2895.5,837.95
25,22.36,8.7,9284,558,58,0,2446.5,890.415
26,24.96,9.6,9433,100,363,4,3170.0,1003.085
27,23.65,9.1,9563,264,73,0,2179.5,906.37
28,23.77,8.8,9793,59,48,0,1988.5,875.605
29,25.8,9.6,9460,57,382,1,2696.5,981.84
30,32.71,12.9,8757,140,1001,2,3383.0,1478.36
31,29.07,11.3,9385,58,456,1,3353.5,1303.57
32,24.2,9.3,6198,3236,466,0,3257.5,991.13
33,31.31,12.0,6753,2084,1004,59,2556.5,1276.405
34,25.2,9.8,9558,203,139,0,1770.0,987.975
35,25.05,9.9,8131,1634,134,1,2829.0,1074.45
36,23.9,9.0,6049,3135,716,0,2384.5,898.02
37,28.22,11.4,7987,1510,403,0,2776.5,1276.765
38,34.26,13.4,8140,1394,357,9,3200.0,1573.345
39,23.41,9.1,6627,2102,1171,0,2535.5,964.49
40,18.29,7.2,9584,61,255,0,1249.5,594.99
41,24.46,9.7,9531,218,151,0,3510.5,999.555
42,28.15,11.4,9097,107,696,0,3105.5,1300.76
43,23.26,8.8,8909,173,817,1,2713.5,914.635
44,26.92,10.3,8906,585,390,19,3241.0,1109.85
45,33.63,12.8,8302,712,881,5,3198.5,1463.355
46,33.01,12.5,8048,1681,166,5,3740.0,1418.08
47,31.5,12.1,8815,739,345,1,4018.5,1344.83
48,13.08,4.8,9813,67,20,0,2624.5,372.32
49,29.06,11.2,9195,461,244,0,3524.5,1224.2
50,30.48,11.8,8066,1314,518,2,3525.0,1380.98
51,25.68,9.9,7547,117,2236,0,3032.5,1046.24
52,31.07,12.3,7494,241,2163,2,3572.5,1440.805
53,27.03,10.7,8989,639,272,0,3343.5,1189.985
54,31.3,12.2,4872,4221,802,5,3476.5,1421.335
55,28.42,11.3,8895,480,522,3,2896.0,1232.92
56,26.46,10.3,9122,589,189,0,3325.5,1150.49
57,34.3,13.5,8139,656,1103,2,3601.5,1630.625
58,29.8,11.7,9055,388,457,0,3415.0,1307.725
59,20.71,8.2,9680,134,82,4,3418.0,735.505
60,18.72,7.4,8568,1328,2,2,2799.0,691.025
61,34.48,13.7,8442,837,619,2,3224.5,1673.285
62,29.9,12.0,6524,2425,951,0,3590.0,1409.955
63,22.92,8.9,5532,4281,87,0,3238.5,892.27
64,17.17,6.6,9744,141,15,0,2659.5,672.385
65,32.92,13.2,9121,535,242,2,3811.5,1554.055
66,32.66,13.1,8367,334,1192,7,3800.0,1561.095
67,27.37,10.6,8634,456,806,4,3335.5,1228.175
68,27.84,10.7,9556,222,122,0,2388.0,1105.785
69,28.17,10.9,8740,586,569,5,2520.5,1144.835
70,19.63,7.6,6494,3372,34,0,3042.5,700.735
71,27.34,10.9,3929,5370,599,2,3271.0,1166.645
72,30.99,11.9,6009,2673,1203,15,2913.5,1348.47
73,19.66,7.4,9229,549,122,0,1628.0,612.145
74,32.57,12.6,6332,2839,719,10,3054.5,1431.06
75,21.06,8.4,5835,528,3493,44,4086.5,732.275
76,38.88,15.4,7883,1310,697,10,4197.0,1926.65
77,25.46,10.0,7661,633,1605,1,2355.0,1002.68
78,27.68,10.8,9396,188,316,0,3543.0,1164.43
79,26.0,9.9,5045,2520,2334,1,3436.5,1099.45
80,20.38,7.8,9721,38,141,0,1746.5,708.225
81,22.01,8.5,8982,661,257,0,4450.0,790.38
82,27.83,10.7,3901,1429,4570,0,4176.0,1146.675
83,15.97,6.2,9709,37,153,1,3088.5,603.535
84,30.61,11.7,8838,943,119,0,3484.5,1312.1
85,24.37,9.3,7858,1046,996,0,1944.0,898.695
86,34.71,13.4,7851,1211,837,1,3457.5,1559.495
87,32.22,12.5,7041,2151,705,3,3745.0,1451.34
88,21.94,8.2,9614,243,43,0,3362.5,882.895
89,34.06,12.9,3603,1715,4582,0,3399.5,1514.795
90,16.59,6.0,9900,0,0,0,616.0,594.6
91,26.75,10.4,6849,2022,1029,0,3266.0,1133.64
92,32.98,12.8,7656,933,1307,4,3159.5,1471.115
93,26.39,10.1,6875,2414,611,0,3165.0,1198.355
94,27.43,10.3,8392,259,1249,0,2946.0,1134.085
95,18.68,6.9,9644,62,194,0,2043.0,659.215
96,28.94,11.1,6415,268,3217,0,2673.0,1238.89
97,27.73,10.7,2515,737,6636,12,3411.0,1201.595
98,26.46,10.3,7772,1865,260,3,2936.5,1094.865
99,26.15,10.0,5194,3935,766,5,2564.0,1031.575
100,29.76,11.1,7819,893,1178,10,3324.0,1276.91
101,17.17,6.3,9705,176,19,0,3419.0,626.105
102,26.68,9.9,8929,474,494,3,3355.0,1022.53
103,24.81,9.3,8777,1050,73,0,3572.0,1040.135
104,21.35,8.0,9900,0,0,0,3651.5,883.42
105,27.09,10.6,9028,362,508,2,2316.0,1116.82
106,21.4,8.2,9656,90,154,0,2697.0,897.085
107,22.99,8.7,9211,529,160,0,2785.0,903.855
108,15158.62,8.6,9107,462,331,0,2417.0,906.575
109,22.96,8.6,9224,574,102,0,1899.0,795.3
110,32.91,12.6,8117,845,937,1,2899.5,1491.86
111,22.82,8.6,9541,105,250,4,3981.5,835.36
112,35.23,13.5,7042,2342,504,12,3259.0,1598.115
113,17.8,6.5,2150,7129,607,14,3262.5,492.165
114,31.11,11.7,7537,1399,964,0,3186.5,1365.95
115,23.58,9.2,8860,282,758,0,2266.5,948.695
116,30.86,12.1,9003,510,387,0,3087.5,1399.14
117,24.93,9.7,9792,26,80,2,3912.0,1046.495
118,28.75,11.2,6471,2187,1242,0,3803.5,1233.955
119,28.25,11.1,5946,1787,2166,1,2884.5,1245.95
120,23.81,9.2,9132,514,253,1,3300.5,984.675
121,23.67,9.3,6732,1173,1995,0,3270.0,978.68
122,20.66,7.9,8621,1203,76,0,1605.5,855.845
123,31.58,12.5,7928,1045,924,3,3136.0,1459.46
124,19.37,7.4,5274,273,4353,0,3693.0,634.575
125,11.03,4.0,3264,6619,17,0,2196.5,234.23
126,18.71,7.3,9834,46,20,0,1676.5,633.225
127,30.37,11.8,9317,115,462,6,4005.0,1392.685
128,22.56,8.9,9678,216,6,0,2983.0,905.675
129,38.86,15.4,4917,2433,2548,2,4117.5,1879.875
130,37.14,14.6,9020,339,536,5,4577.5,1817.935
131,25.45,9.8,9428,327,145,0,2851.5,1110.88
132,26.87,10.8,7181,76,2643,0,3580.0,1187.895
133,21.83,8.3,9566,248,86,0,3046.0,837.975
134,29.85,11.5,7101,350,2433,16,3993.0,1268.68
135,28.56,11.0,8049,179,1670,2,3539.5,1240.305
136,26.16,10.2,8238,952,710,0,1745.0,1038.285
137,27.01,10.5,7266,203,2431,0,3357.5,1183.235
138,32.16,12.5,8850,413,614,23,3679.5,1489.18
139,23.47,9.0,8879,251,769,1,3313.0,963.225
140,30.54,11.5,8889,440,571,0,3554.0,1302.61
141,18.36,7.0,3447,355,6098,0,2875.5,709.16
142,26.61,10.1,5724,220,3956,0,3727.5,1041.825
143,26.2,10.2,5956,2941,1000,3,3208.5,1114.2
144,30.45,11.7,8242,1331,326,1,3692.0,1383.235
145,34.45,13.4,9504,53,340,3,3969.0,1598.575
146,20.58,8.0,9329,303,268,0,2795.5,875.14
147,36.55,14.5,6114,325,3381,80,4933.0,1733.135
148,26.79,10.3,9501,83,314,2,3762.0,1103.295
149,21.56,8.5,9473,8,419,0,3993.0,930.835
150,34.24,13.6,8009,1386,505,0,3189.0,1600.19
151,26.27,10.8,9408,157,335,0,3426.0,1216.57
152,34.98,14.2,9449,81,369,1,4209.5,1648.51
153,26.01,10.7,9900,0,0,0,2525.5,1176.375
154,18.42,7.4,988,8832,80,0,1031.5,600.64
155,32.32,13.1,7552,1014,1325,9,3706.0,1535.87
156,30.84,13.0,4624,3311,1965,0,4137.0,1571.525
157,22.79,9.5,7302,956,1642,0,3428.0,993.365
158,24.56,10.2,8566,653,679,2,3317.5,1123.02
159,28.99,11.8,7987,1577,330,6,3653.5,1391.665
160,26.89,10.6,8490,903,507,0,2978.5,1202.31
161,29.91,12.4,9452,103,345,0,2433.0,1391.19
162,33.63,14.2,6515,291,3094,0,3835.5,1722.555
163,14.06,5.7,9735,21,144,0,1882.5,382.2
164,24.13,9.8,9536,102,256,6,3663.0,1013.445
165,33.13,13.0,7913,1353,628,6,4100.0,1534.495
166,27.39,10.8,9418,87,395,0,3273.5,1210.145
167,28.19,11.3,9522,81,297,0,3400.5,1260.1
168,20.26,8.3,9346,401,152,1,3369.5,836.94
169,30.49,12.3,7247,322,2199,132,2781.0,1214.395
170,33.02,12.8,9438,91,371,0,4088.0,1543.61
171,31.97,12.8,9829,6,65,0,3883.0,1528.885
172,23.19,9.1,9795,77,28,0,3010.0,960.525
173,18.87,7.3,9843,45,12,0,1358.5,600.365
174,36.86,14.6,7037,2179,684,0,3874.5,1766.185
175,28.67,11.0,8625,1197,78,0,3758.5,1209.31
176,22.64,8.5,9103,773,17,7,3041.0,828.355
177,19.18,7.2,9783,76,41,0,3205.5,654.91
178,17.87,6.7,9888,10,2,0,3375.5,623.935
179,33.35,13.0,8486,1032,382,0,3835.0,1540.105
180,26.07,10.3,7232,149,2519,0,2035.5,1071.275
181,42.85,16.7,6935,851,2112,2,3654.0,2128.83
182,16.95,6.3,9802,0,98,0,3400.5,623.23
183,16.21,6.0,9198,677,25,0,3888.0,417.72
184,35.33,13.5,7931,1765,204,0,3995.5,1578.98
185,37.2,14.1,7563,486,1850,1,3426.5,1660.44
186,38.2,14.7,5097,3700,1103,0,3955.5,1827.315
187,25.64,9.7,3029,6201,660,10,3246.5,972.045
188,27.88,10.8,8501,826,573,0,3166.0,1224.135
189,25.01,9.4,9519,229,152,0,2727.5,1015.45
190,29.49,11.3,9548,165,187,0,2973.0,1262.655
191,17.57,6.7,9764,50,86,0,4135.0,684.81
192,30.66,11.9,9149,517,232,2,4059.5,1390.985
193,27.26,10.4,8140,558,1202,0,3575.0,1130.67
194,36.25,13.9,8968,376,556,0,3568.0,1710.58
195,31.04,12.0,7061,219,2620,0,3665.5,1388.0
196,29.0,11.3,9486,157,257,0,3476.0,1278.335
197,22.08,8.5,3308,6568,23,1,2636.0,790.475
198,19.13,7.2,9861,22,17,0,3071.5,680.455
199,35.6,13.7,8524,959,409,8,3768.5,1614.04
200,17.58,6.8,9900,0,0,0,1960.0,648.77
201,17.34,6.7,9642,85,173,0,2233.0,630.9
202,21.8,8.3,9636,191,73,0,3856.5,854.905
203,11.78,4.4,9899,0,1,0,688.0,356.475
204,14.2,5.3,9158,558,184,0,2589.0,456.515
205,25.9,9.9,8982,776,142,0,3480.0,1126.695
206,23.24,9.0,9647,37,216,0,4389.5,877.345
207,23.6,8.9,6206,3614,80,0,2536.5,849.22
208,19.05,7.5,8782,86,1032,0,1981.5,631.32
209,12.04,4.4,9808,91,1,0,1661.5,174.205
210,27.41,10.7,7492,2311,94,3,3294.5,1200.215
211,1621.93,12.4,7533,1968,398,1,3324.0,1464.97
212,17.44,6.6,7957,1846,97,0,2054.0,652.9
213,24.84,9.5,8979,787,133,1,2768.5,999.46
214,24.39,9.7,9713,32,155,0,2563.0,1017.86
215,19.64,7.8,9885,0,15,0,2671.0,785.945
216,19.65,7.8,8944,612,344,0,3809.0,688.965
217,5223.77,14.3,7033,2040,808,19,3750.0,1748.42
218,30.87,14.4,7068,890,1941,1,3776.5,1759.56
219,18.44,7.7,9545,155,200,0,3409.0,806.145
220,26.99,13.4,8729,532,639,0,3659.0,1572.115
221,30.34,11.6,7756,1097,1046,1,3757.5,1327.565
222,20.96,8.2,7875,1203,822,0,3816.5,781.33
223,21.94,8.7,9560,130,210,0,3931.5,873.23
224,19.86,7.9,9688,130,82,0,3257.5,695.76
225,23.18,9.1,8846,794,260,0,2299.5,893.575
226,29.86,11.7,9568,214,105,13,3644.0,1292.97
227,35.33,13.7,9424,149,326,1,4505.5,1640.69
228,25.87,10.3,9339,214,345,2,3986.5,1066.44
229,28.99,11.5,6143,2739,1018,0,3412.0,1360.98
230,23.14,9.1,9403,474,19,4,3193.5,888.385
231,35.08,13.6,5682,2391,1827,0,4299.5,1597.685
232,34.23,12.9,5422,3389,1087,2,3055.5,1507.6
233,16.26,6.0,9386,508,6,0,1109.0,598.415
234,24.25,9.2,3747,5420,731,2,1929.5,932.335
235,30.1,11.4,7958,1569,369,4,3174.0,1221.705
236,43.66,16.7,4552,1713,3635,0,4098.5,2065.605
237,31.07,12.7,7051,1162,1687,0,3568.0,1552.54
238,36.91,13.3,7221,349,2330,0,3565.5,1578.52
239,29.4,11.0,8520,860,516,4,2792.0,1172.555
240,30.18,11.6,8099,60,1741,0,3876.0,1298.405
241,14.92,5.7,6101,3799,0,0,753.5,347.31
242,28.58,11.1,8328,1340,231,1,2983.0,1272.73
243,15.62,5.8,9900,0,0,0,2399.0,499.31
244,30.93,11.6,8261,1095,544,0,3913.0,1366.82
245,18.81,7.0,9900,0,0,0,544.5,544.5
246,21.67,7.9,9428,276,196,0,2612.0,690.44
247,16.03,6.1,9899,0,1,0,863.0,592.635
248,20.11,7.6,9667,30,203,0,1618.0,653.87
249,22.26,7.9,9900,0,0,0,874.5,680.25
250,14.27,5.1,9884,2,14,0,3535.5,263.34
251,17.41,6.4,9900,0,0,0,3026.0,555.29
252,18.59,6.9,9857,30,13,0,3430.0,570.445
253,22.56,8.5,9182,84,634,0,2808.0,863.0
254,17.89,6.6,9472,21,407,0,1127.5,500.75
255,23.79,9.0,9732,12,156,0,2587.0,871.605
256,24.97,9.4,9814,5,81,0,3835.5,949.795
257,17.81,6.7,9879,7,14,0,2460.0,521.59
258,19.53,7.2,9890,0,10,0,2428.5,610.47
259,20.07,7.5,9900,0,0,0,3407.0,692.58
260,8.87,3.1,9898,2,0,0,250.5,-26.815
261,24.43,8.9,9808,90,2,0,3858.5,972.895
262,19.07,7.1,9896,4,0,0,2919.0,670.63
263,20.2,7.6,9178,715,7,0,2365.5,655.225
264,21.67,8.0,9900,0,0,0,1121.0,896.185
265,25.38,9.5,7839,2013,48,0,3301.5,1001.985
266,34.53,13.0,9897,2,1,0,2140.0,1438.385
267,17.5,6.4,9900,0,0,0,3513.0,480.905
268,12.35,4.4,9872,14,14,0,711.0,348.285
269,25.19,9.4,9801,47,52,0,3325.0,1012.075
270,19.32,7.2,9611,235,54,0,2384.0,596.68
271,15.6,5.7,9801,99,0,0,510.0,351.945
